0.01294	0.01035	0.00776	0.00518	0.00259	0	-0.00259	-0.00518	-0.00776	-0.01035	-0.01294
-0.00419	0.18219	0.28505	0.17771	0.28367	0.17481	0.28509	0.17451	0.28636	0.1768	0.2884	0.17904	0.227
-0.00449	0.08991	0.16605	0.08678	0.16417	0.08487	0.16548	0.08485	0.16669	0.08612	0.16912	0.08809	0.123
-0.00479	0.02979	0.07706	0.02875	0.07627	0.02786	0.07635	0.02775	0.07747	0.02831	0.07913	0.02866	0.0507
-0.00509	0.00509	0.0234	0.00513	0.02343	0.0051	0.02341	0.00512	0.02371	0.00507	0.02425	0.00484	0.0135
-0.00539	6.11E-04	0.0039	6.64E-04	0.00408	7.04E-04	0.00413	7.57E-04	0.00415	7.17E-04	0.00406	6.24E-04	0.00222
-0.00569	3.59E-04	7.83E-04	3.59E-04	8.89E-04	3.98E-04	8.89E-04	4.38E-04	8.90E-04	3.98E-04	9.16E-04	3.45E-04	6.06E-04
-0.00599	1.86E-04	4.91E-04	2.12E-04	5.71E-04	2.26E-04	6.37E-04	2.26E-04	6.24E-04	2.52E-04	5.44E-04	1.99E-04	3.79E-04
-0.00629	1.06E-04	2.39E-04	9.30E-05	3.32E-04	1.46E-04	2.79E-04	1.46E-04	3.72E-04	1.46E-04	3.05E-04	1.20E-04	2.08E-04
-0.00659	5.32E-05	1.46E-04	7.97E-05	2.39E-04	7.97E-05	1.99E-04	1.06E-04	1.73E-04	1.06E-04	1.99E-04	7.97E-05	1.33E-04
-0.00688	2.66E-05	9.30E-05	5.31E-05	1.20E-04	7.97E-05	9.30E-05	7.97E-05	9.30E-05	6.64E-05	1.06E-04	5.31E-05	7.85E-05
-0.00718	3.99E-05	5.31E-05	2.66E-05	7.96E-05	5.31E-05	7.96E-05	6.64E-05	7.98E-05	3.99E-05	5.31E-05	6.63E-05	5.79E-05
-0.00748	3.98E-05	6.64E-05	2.65E-05	5.31E-05	5.31E-05	3.98E-05	6.64E-05	7.97E-05	5.31E-05	2.66E-05	7.97E-05	5.31E-05
