9.200000e-01	9.240000e-01	9.280000e-01	9.320000e-01	9.360000e-01	9.400000e-01	9.440000e-01	9.480000e-01	9.520000e-01	9.560000e-01	9.600000e-01	9.640000e-01	9.680000e-01	9.720000e-01	9.760000e-01	9.800000e-01	9.840000e-01	9.880000e-01	9.920000e-01	9.960000e-01
100	100	51	100	101	101	101	101	101	101	102	102	102	152	152	202	202	203	254	604
103	103	54	103	104	104	104	105	105	106	107	107	107	157	157	207	208	212	264	614
105	106	57	106	107	107	108	109	109	110	112	112	112	162	162	212	215	220	274	624
108	108	61	109	110	111	112	112	114	115	117	117	117	167	167	217	221	228	284	634
110	111	64	112	113	114	115	116	118	119	122	122	122	172	172	222	227	237	294	644
113	113	67	115	116	117	119	120	122	124	127	127	127	177	177	227	233	245	904	1854
115	116	71	118	119	121	122	124	126	129	132	132	132	182	182	232	240	703	914	1864
118	119	74	121	122	124	126	128	130	133	137	137	137	187	187	237	246	712	924	1874
120	121	77	124	126	127	129	132	134	138	142	142	142	192	192	242	702	720	934	1884
123	124	81	127	129	131	133	136	139	142	147	147	147	197	197	247	708	728	944	1894
125	127	84	130	132	134	137	139	143	147	352	352	402	502	602	702	715	737	1504	2500
128	129	87	133	135	137	140	143	147	351	357	357	407	507	607	707	721	745	1514	2500
130	132	91	136	138	141	144	147	351	356	362	362	412	512	612	712	727	1203	1524	2500
133	135	94	139	141	144	147	351	355	360	367	367	417	517	617	717	733	1212	1534	2500
135	137	97	142	144	147	351	355	359	365	372	372	422	522	622	722	740	1220	1544	2500
138	140	251	145	147	351	354	359	364	369	377	377	427	527	627	727	746	1228	2154	2500
140	142	254	148	351	354	358	362	368	374	382	382	432	532	632	732	1202	1237	2164	2500
143	145	257	350	354	357	362	366	372	379	387	387	437	537	637	737	1208	1245	2174	2500
145	148	261	353	357	361	365	370	376	383	392	392	442	542	642	742	1215	1703	2184	2500
148	350	264	356	360	364	369	374	380	388	397	397	447	547	647	747	1221	1712	2194	2500
350	353	267	359	363	367	372	378	384	392	602	652	752	852	1002	1202	1227	1720	2500	2500
353	356	271	362	366	371	376	382	389	397	607	657	757	857	1007	1207	1233	1728	2500	2500
355	358	274	365	369	374	379	386	393	601	612	662	762	862	1012	1212	1240	1737	2500	2500
358	361	277	368	372	377	383	389	397	606	617	667	767	867	1017	1217	1246	1745	2500	2500
360	363	281	371	376	381	387	393	601	610	622	672	772	872	1022	1222	1702	2203	2500	2500
363	366	284	374	379	384	390	397	605	615	627	677	777	877	1027	1227	1708	2212	2500	2500
365	369	287	377	382	387	394	601	609	619	632	682	782	882	1032	1232	1715	2220	2500	2500
368	371	291	380	385	391	397	605	614	624	637	687	787	887	1037	1237	1721	2228	2500	2500
370	374	294	383	388	394	601	609	618	629	642	692	792	892	1042	1242	1727	2237	2500	2500
373	377	297	386	391	397	604	612	622	633	647	697	797	897	1047	1247	1733	2245	2500	2500
375	379	451	389	394	601	608	616	626	638	852	902	1052	1202	1402	1702	1740	2500	2500	2500
378	382	454	392	397	604	612	620	630	642	857	907	1057	1207	1407	1707	1746	2500	2500	2500
380	385	457	395	601	607	615	624	634	647	862	912	1062	1212	1412	1712	2202	2500	2500	2500
383	387	461	398	604	611	619	628	639	851	867	917	1067	1217	1417	1717	2208	2500	2500	2500
385	390	464	600	607	614	622	632	643	856	872	922	1072	1222	1422	1722	2215	2500	2500	2500
388	392	467	603	610	617	626	636	647	860	877	927	1077	1227	1427	1727	2221	2500	2500	2500
390	395	471	606	613	621	629	639	851	865	882	932	1082	1232	1432	1732	2227	2500	2500	2500
393	398	474	609	616	624	633	643	855	869	887	937	1087	1237	1437	1737	2233	2500	2500	2500
395	600	477	612	619	627	637	647	859	874	892	942	1092	1242	1442	1742	2240	2500	2500	2500
398	603	481	615	622	631	640	851	864	879	897	947	1097	1247	1447	1747	2246	2500	2500	2500
600	606	484	618	626	634	644	855	868	883	1102	1202	1352	1552	1852	2202	2500	2500	2500	2500
603	608	487	621	629	637	647	859	872	888	1107	1207	1357	1557	1857	2207	2500	2500	2500	2500
605	611	491	624	632	641	851	862	876	892	1112	1212	1362	1562	1862	2212	2500	2500	2500	2500
608	613	494	627	635	644	854	866	880	897	1117	1217	1367	1567	1867	2217	2500	2500	2500	2500
610	616	497	630	638	647	858	870	884	1101	1122	1222	1372	1572	1872	2222	2500	2500	2500	2500
613	619	701	633	641	851	862	874	889	1106	1127	1227	1377	1577	1877	2227	2500	2500	2500	2500
615	621	704	636	644	854	865	878	893	1110	1132	1232	1382	1582	1882	2232	2500	2500	2500	2500
618	624	707	639	647	857	869	882	897	1115	1137	1237	1387	1587	1887	2237	2500	2500	2500	2500
620	627	711	642	851	861	872	886	1101	1119	1142	1242	1392	1592	1892	2242	2500	2500	2500	2500
623	629	714	645	854	864	876	889	1105	1124	1147	1247	1397	1597	1897	2247	2500	2500	2500	2500
625	632	717	648	857	867	879	893	1109	1129	1352	1502	1652	1902	2252	2500	2500	2500	2500	2500
628	635	721	850	860	871	883	897	1114	1133	1357	1507	1657	1907	2257	2500	2500	2500	2500	2500
630	637	724	853	863	874	887	1101	1118	1138	1362	1512	1662	1912	2262	2500	2500	2500	2500	2500
633	640	727	856	866	877	890	1105	1122	1142	1367	1517	1667	1917	2267	2500	2500	2500	2500	2500
635	642	731	859	869	881	894	1109	1126	1147	1372	1522	1672	1922	2272	2500	2500	2500	2500	2500
638	645	734	862	872	884	897	1112	1130	1351	1377	1527	1677	1927	2277	2500	2500	2500	2500	2500
