0.9000	0.9025	0.9050	0.9075	0.9100	0.9125	0.9150	0.9175	0.9200	0.9225	0.9250	0.9275	0.9300	0.9325	0.9350	0.9375	0.9400	0.9425	0.9450	0.9475	0.9500	0.9525	0.9550	0.9575	0.9600	0.9625	0.9650	0.9675	0.9700	0.9725	0.9750	0.9775	0.9800	0.9825	0.9850	0.9875	0.9900	0.9925	0.9950	0.9975
20	20	20	20	21	21	21	21	21	21	21	21	21	21	21	21	22	22	22	22	41	41	41	41	42	42	42	42	42	42	42	42	44	44	82	82	84	89	184	189
23	23	23	23	24	25	25	25	25	25	24	24	24	24	24	25	27	27	27	27	45	45	45	45	47	49	49	49	47	47	47	49	54	54	89	89	94	284	194	400
26	26	26	26	27	29	29	29	29	29	27	27	27	27	27	29	32	32	32	32	49	49	49	49	52	56	56	56	52	52	52	56	182	184	96	96	284	294	400	400
29	29	29	29	31	33	33	33	33	33	31	31	31	31	31	33	37	37	37	37	53	53	53	53	57	142	142	142	57	57	57	182	189	194	282	284	294	400	400	400
32	32	32	32	34	37	37	37	37	37	34	34	34	34	34	37	101	102	102	102	57	57	57	57	142	147	149	149	182	182	182	189	196	322	289	294	400	400	400	400
35	35	35	35	37	81	81	81	81	81	37	37	37	37	37	101	105	107	107	107	141	141	141	142	147	152	156	156	187	187	189	196	322	329	296	400	400	400	400	400
38	38	38	38	81	84	85	85	85	85	101	101	101	101	101	105	109	112	112	112	145	145	145	147	152	157	242	242	192	192	196	322	329	336	400	400	400	400	400	400
80	80	80	81	84	87	89	89	89	89	104	104	104	104	105	109	113	117	117	117	149	149	149	152	157	242	247	249	197	197	322	329	336	400	400	400	400	400	400	400
83	83	83	84	87	91	93	93	93	93	107	107	107	107	109	113	117	181	182	182	153	153	153	157	242	247	252	256	322	322	329	336	400	400	400	400	400	400	400	400
86	86	86	87	91	94	97	97	97	97	111	111	111	111	113	117	181	185	187	187	157	157	157	242	247	252	257	342	327	329	336	400	400	400	400	400	400	400	400	400
89	89	89	91	94	97	141	141	141	141	114	114	114	114	117	181	185	189	192	192	241	241	242	247	252	257	342	347	332	336	400	400	400	400	400	400	400	400	400	400
92	92	92	94	97	141	144	145	145	145	117	117	117	117	181	185	189	193	197	197	245	245	247	252	257	342	347	352	337	400	400	400	400	400	400	400	400	400	400	400
95	95	95	97	141	144	147	149	149	149	181	181	181	181	185	189	193	197	261	262	249	249	252	257	342	347	352	357	400	400	400	400	400	400	400	400	400	400	400	400
98	98	98	141	144	147	151	153	153	153	184	184	184	185	189	193	197	261	265	267	253	253	257	342	347	352	357	400	400	400	400	400	400	400	400	400	400	400	400	400
140	140	141	144	147	151	154	157	157	157	187	187	187	189	193	197	261	265	269	272	257	257	342	347	352	357	400	400	400	400	400	400	400	400	400	400	400	400	400	400
143	143	144	147	151	154	157	221	221	221	191	191	191	193	197	261	265	269	273	277	341	342	347	352	357	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400
146	146	147	151	154	157	221	224	225	225	194	194	194	197	261	265	269	273	277	341	345	347	352	357	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400
149	149	151	154	157	221	224	227	229	229	197	197	197	261	265	269	273	277	341	345	349	352	357	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400
152	152	154	157	221	224	227	231	233	233	261	261	261	265	269	273	277	341	345	349	353	357	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400
155	155	157	221	224	227	231	234	237	237	264	264	265	269	273	277	341	345	349	353	357	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400
158	158	221	224	227	231	234	237	281	281	267	267	269	273	277	341	345	349	353	357	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400
220	221	224	227	231	234	237	281	284	285	271	271	273	277	341	345	349	353	357	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400
223	224	227	231	234	237	281	284	287	289	274	274	277	341	345	349	353	357	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400
226	227	231	234	237	281	284	287	291	293	277	277	341	345	349	353	357	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400
229	231	234	237	281	284	287	291	294	297	341	341	345	349	353	357	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400
232	234	237	281	284	287	291	294	297	341	344	345	349	353	357	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400
235	237	281	284	287	291	294	297	341	344	347	349	353	357	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400
238	281	284	287	291	294	297	341	344	347	351	353	357	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400
281	284	287	291	294	297	341	344	347	351	354	357	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400
284	287	291	294	297	341	344	347	351	354	357	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400
287	291	294	297	341	344	347	351	354	357	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400
291	294	297	341	344	347	351	354	357	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400
294	297	341	344	347	351	354	357	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400
297	341	344	347	351	354	357	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400
341	344	347	351	354	357	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400
344	347	351	354	357	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400
347	351	354	357	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400
351	354	357	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400
354	357	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400
357	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400
